data,DataAgenda,dataseparado,dataseparadofim,dataseparadoinicio,Emp,Pedidos,Itens,Opcao2,opcao,operador,separador,setor,status
2019-06-21 15:33:54,2019-06-21 00:00:00,,2019-06-21 16:24:10,2019-06-21 15:49:49,1,224956,4,Abastecimento,N,JOSINIELRYA,JOSINIELRYA,Abastecimento,F
2019-06-21 15:24:49,2019-06-21 00:00:00,,2019-06-21 15:29:55,2019-06-21 15:29:47,1,224954,1,Cliente,C,MarceloA,ARIELG,Deposito,F
2019-06-21 15:21:35,2019-06-21 00:00:00,,2019-06-21 15:28:13,2019-06-21 15:23:58,1,224952,1,Cliente,C,MARCIO GRA,wildsono,Deposito,F
2019-06-21 15:18:48,2019-06-21 00:00:00,,2019-06-21 15:24:24,2019-06-21 15:20:50,1,224950,1,Cliente,C,MARIAC,micaelp,Deposito,F
2019-06-21 15:16:29,2019-06-21 00:00:00,,2019-06-21 15:18:41,2019-06-21 15:17:52,1,224949,1,Cliente,C,gersono,alexd,Deposito,F
2019-06-21 15:14:33,2019-06-21 00:00:00,,2019-06-21 15:42:57,2019-06-21 15:39:13,2,224948,1,Rota,R,CARLOSG,kevena,Deposito,F
2019-06-21 15:10:18,2019-06-21 00:00:00,,2019-06-21 15:17:07,2019-06-21 15:13:45,1,224946,1,Cliente,C,gersono,micaelp,Deposito,F
2019-06-21 15:08:49,2019-06-21 00:00:00,,2019-06-21 15:13:32,2019-06-21 15:11:59,1,224945,1,Cliente,C,LUYLDOD,DANIELB,Deposito,F
2019-06-21 15:08:31,2019-06-21 00:00:00,,2019-06-21 15:17:40,2019-06-21 15:17:16,1,224944,1,Cliente,C,iranildov,joaos,Deposito,F
2019-06-21 15:06:13,2019-06-21 00:00:00,,2019-06-21 15:14:52,2019-06-21 15:08:30,1,224942,1,Cliente,C,alberion,ALBERION,Abastecimento,F
2019-06-21 15:04:39,2019-06-21 00:00:00,,2019-06-21 15:53:47,2019-06-21 15:41:54,1,224941,8,Abastecimento,N,TEREZINHANAZCA,JEFFEMBERGJONAS,Deposito,F
2019-06-21 15:02:18,2019-06-21 00:00:00,,2019-06-21 15:09:54,,1,224939,1,Cliente,C,elias,,,F
2019-06-21 15:00:34,2019-06-21 00:00:00,,2019-06-21 15:45:40,2019-06-21 15:08:57,1,224938,2,Abastecimento,N,RONALDONADIR,RONALDONADIR,Promotor,F
2019-06-21 15:00:14,2019-06-21 00:00:00,,2019-06-21 15:05:31,2019-06-21 15:05:22,1,224937,1,Cliente,C,jneto,ARIELG,Deposito,F
2019-06-21 14:59:40,2019-06-21 00:00:00,,2019-06-21 15:29:43,2019-06-21 15:18:07,1,224936,3,Abastecimento,N,CLEITON,ANDREF,Abastecimento,F
2019-06-21 14:59:28,2019-06-21 00:00:00,,2019-06-21 16:39:36,2019-06-21 15:59:45,1,224935,4,Abastecimento,N,ALBECIL,JEFFEMBERGJONAS,Deposito,F
2019-06-21 14:52:59,2019-06-21 00:00:00,,2019-06-21 15:50:20,2019-06-21 15:17:50,1,224933,5,Abastecimento,N,CLEITON,ANDREF,Abastecimento,F
2019-06-21 14:42:58,2019-06-21 00:00:00,,2019-06-21 15:34:46,2019-06-21 15:17:37,1,224930,1,Abastecimento,N,CLEITON,ANDREF,Abastecimento,F
2019-06-21 14:37:41,2019-06-21 00:00:00,,2019-06-21 14:40:03,2019-06-21 14:39:35,1,224928,2,Cliente,C,jneto,micaelp,Deposito,F
2019-06-21 14:36:33,2019-06-21 00:00:00,,2019-06-21 15:39:41,2019-06-21 14:41:31,1,224927,7,Abastecimento,N,CLEITON,ALEFF,Abastecimento,F
2019-06-21 14:26:50,2019-06-21 00:00:00,,2019-06-21 14:37:34,2019-06-21 14:34:20,1,224924,1,Cliente,C,MARCIO GRA,DANIELB,Deposito,F
2019-06-21 14:26:20,2019-06-21 00:00:00,,2019-06-21 15:02:34,2019-06-21 14:59:41,2,224923,2,Rota,R,CARLOSG,kevena,Deposito,F
2019-06-21 14:26:14,2019-06-21 00:00:00,,2019-06-21 14:32:16,2019-06-21 14:29:02,1,224922,1,Abastecimento,N,Raniel,Raniel,Promotor,F
2019-06-21 14:25:24,2019-06-21 00:00:00,,2019-06-21 14:34:46,2019-06-21 14:34:28,1,224921,1,Cliente,C,martina,joaos,Deposito,F
2019-06-21 14:24:31,2019-06-21 00:00:00,,2019-06-21 16:29:06,2019-06-21 14:25:23,1,224920,30,Abastecimento,N,vivianed,HIGORD,Abastecimento,F
2019-06-21 14:22:07,2019-06-21 00:00:00,,2019-06-21 14:51:26,2019-06-21 14:41:23,1,224919,1,Abastecimento,N,CLEITON,ALEFF,Abastecimento,F
2019-06-21 14:21:51,2019-06-21 00:00:00,,2019-06-21 15:55:00,2019-06-21 14:51:21,1,224918,2,Abastecimento,N,elias,josef,Abastecimento,F
2019-06-21 14:17:38,2019-06-21 00:00:00,,2019-06-21 14:22:55,2019-06-21 14:22:51,1,224916,1,Cliente,C,ALBECIL,ARIELG,Deposito,F
2019-06-21 14:10:48,2019-06-21 00:00:00,,2019-06-21 14:18:40,2019-06-21 14:17:02,1,224915,1,Cliente,C,OSIAS,alexd,Deposito,F
2019-06-21 14:06:58,2019-06-21 00:00:00,,2019-06-21 14:56:59,2019-06-21 14:53:32,2,224914,3,Abastecimento,N,deysek,kevena,Deposito,F
2019-06-21 14:06:17,2019-06-21 00:00:00,,2019-06-21 14:57:02,2019-06-21 14:55:19,2,224913,1,Abastecimento,N,deysek,alanilsonm,Deposito,F
2019-06-21 14:06:13,2019-06-21 00:00:00,,2019-06-21 14:17:46,2019-06-21 14:17:41,1,224912,1,Cliente,C,DANIELPONTES,ARIELG,Deposito,F
2019-06-21 14:05:39,2019-06-21 00:00:00,,2019-06-21 14:52:43,2019-06-21 14:52:17,2,224911,1,Abastecimento,N,deysek,kevena,Deposito,F
2019-06-21 14:04:59,2019-06-21 00:00:00,,2019-06-21 15:02:54,2019-06-21 14:57:39,2,224910,1,Abastecimento,N,deysek,"",,F
2019-06-21 13:58:31,2019-06-21 00:00:00,,2019-06-21 14:05:08,2019-06-21 14:04:56,1,224908,1,Cliente,C,ALBECIL,ARIELG,Deposito,F
2019-06-21 13:57:45,2019-06-21 00:00:00,,2019-06-21 14:05:43,2019-06-21 14:05:37,1,224907,1,Cliente,C,janicleisson,ARIELG,Deposito,F
2019-06-21 13:56:22,2019-06-21 00:00:00,,2019-06-21 14:05:18,2019-06-21 14:05:12,1,224905,1,Cliente,C,ALBECIL,ARIELG,Deposito,F
2019-06-21 13:55:11,2019-06-21 00:00:00,,2019-06-21 14:04:49,2019-06-21 13:56:47,1,224904,2,Abastecimento,N,CLEITON,CLEITON,Abastecimento,F
2019-06-21 13:50:43,2019-06-21 00:00:00,,2019-06-21 15:14:39,2019-06-21 13:56:32,1,224901,18,Abastecimento,N,SANDROO,SANDROO,Abastecimento,F
2019-06-21 13:49:11,2019-06-21 00:00:00,,2019-06-21 14:14:24,2019-06-21 14:00:56,1,224899,4,Cliente,C,walterb,gabrieloliveira,Deposito,F
2019-06-21 13:48:16,2019-06-21 00:00:00,,2019-06-21 13:58:11,2019-06-21 13:49:02,1,224897,1,Cliente,C,martina,MARTINA,Abastecimento,F
2019-06-21 13:47:21,2019-06-21 00:00:00,,2019-06-21 13:54:47,2019-06-21 13:50:26,1,224896,1,Cliente,C,ELLENM,irandantas,Deposito,F
2019-06-21 13:45:13,2019-06-21 00:00:00,,2019-06-21 14:15:15,2019-06-21 14:00:49,1,224893,5,Cliente,C,gersono,alexd,Deposito,F
2019-06-21 13:44:24,2019-06-21 00:00:00,,2019-06-21 13:50:35,2019-06-21 13:45:20,1,224891,1,Abastecimento,N,ALBECIL,ALBECIL,Abastecimento,F
2019-06-21 13:37:32,2019-06-21 00:00:00,,2019-06-21 13:50:05,2019-06-21 13:46:54,11,224888,1,Abastecimento,N,MARIA ELOISA,rodolfor,Deposito,F
2019-06-21 13:35:58,2019-06-21 00:00:00,,2019-06-21 13:39:26,2019-06-21 13:37:36,1,224887,1,Cliente,C,LUYLDOD,jeffersondouglas,Deposito,F
2019-06-21 13:28:00,2019-06-21 00:00:00,,2019-06-21 13:37:07,2019-06-21 13:36:59,1,224886,2,Cliente,C,alberion,ARIELG,Deposito,F
2019-06-21 13:18:01,2019-06-21 00:00:00,,2019-06-21 13:29:43,2019-06-21 13:29:37,1,224883,1,Cliente,C,OSIAS,ARIELG,Deposito,F
2019-06-21 13:10:14,2019-06-21 00:00:00,,2019-06-21 14:21:17,2019-06-21 14:20:43,1,224880,1,Abastecimento,N,JULIANA SILVA,alexd,Deposito,F
2019-06-21 13:07:40,2019-06-21 00:00:00,,2019-06-21 13:14:22,2019-06-21 13:11:37,1,224879,1,Cliente,C,MARCIO GRA,micaelp,Deposito,F
2019-06-21 13:07:01,2019-06-21 00:00:00,,2019-06-21 13:15:05,2019-06-21 13:08:52,1,224878,1,Cliente,C,ALBECIL,jeissonc,Deposito,F
2019-06-21 13:00:10,2019-06-21 00:00:00,,2019-06-21 13:07:54,2019-06-21 13:05:22,1,224877,1,Cliente,C,elisr,micaelp,Deposito,F
2019-06-21 12:51:51,2019-06-21 00:00:00,,2019-06-21 14:28:42,2019-06-21 12:54:33,1,224874,30,Abastecimento,N,vivianed,HIGORD,Abastecimento,F
2019-06-21 12:44:23,2019-06-21 00:00:00,,2019-06-21 12:51:27,2019-06-21 12:45:58,1,224871,1,Cliente,C,EDINALDOM,micaelp,Deposito,F
2019-06-21 12:40:20,2019-06-21 00:00:00,,2019-06-21 12:48:49,2019-06-21 12:42:54,1,224868,2,Cliente,C,MARIAC,jeissonc,Deposito,F
2019-06-21 12:37:50,2019-06-21 00:00:00,,2019-06-21 12:44:09,2019-06-21 12:44:02,1,224867,1,Cliente,C,ALBECIL,wildsono,Deposito,F
2019-06-21 12:32:06,2019-06-21 00:00:00,,2019-06-21 12:39:23,2019-06-21 12:39:14,1,224865,1,Cliente,C,JOEL YSON,wildsono,Deposito,F
2019-06-21 12:31:32,2019-06-21 00:00:00,,2019-06-21 15:38:39,2019-06-21 15:05:57,1,224864,4,F.Shop 10,X,vivi,jonatasferreira,Deposito,F
2019-06-21 12:30:28,2019-06-21 00:00:00,,2019-06-21 12:40:14,2019-06-21 12:32:11,1,224863,2,Cliente,C,elisr,jeissonc,Deposito,F
2019-06-21 12:28:40,2019-06-21 00:00:00,,2019-06-21 12:59:32,2019-06-21 12:55:21,1,224862,1,F.Shop 10,X,vivi,JEFFEMBERGJONAS,Deposito,F
2019-06-21 12:28:17,2019-06-21 00:00:00,,2019-06-21 12:59:54,2019-06-21 12:58:03,11,224861,4,Abastecimento,N,alano,rodolfor,Deposito,F
2019-06-21 12:27:35,2019-06-21 00:00:00,,2019-06-21 12:54:56,2019-06-21 12:33:47,1,224860,19,F.Shop 10,X,vivi,JEFFEMBERGJONAS,Deposito,F
2019-06-21 12:23:59,2019-06-21 00:00:00,,2019-06-21 12:40:37,2019-06-21 12:25:12,1,224858,4,Abastecimento,N,leandrop,LEANDROP,Promotor,F
2019-06-21 12:21:11,2019-06-21 00:00:00,,2019-06-21 12:25:31,2019-06-21 12:25:19,1,224857,1,Cliente,C,martina,wildsono,Deposito,F
2019-06-21 12:18:50,2019-06-21 00:00:00,,2019-06-21 13:53:53,2019-06-21 13:35:08,1,224855,2,Abastecimento,N,DANIELPONTES,alexd,Deposito,F
2019-06-21 12:14:55,2019-06-21 00:00:00,,2019-06-21 13:30:23,2019-06-21 13:30:00,1,224854,5,Abastecimento,N,jaquelinem,ARIELG,Deposito,F
2019-06-21 12:13:29,2019-06-21 00:00:00,,2019-06-21 13:39:33,2019-06-21 12:41:47,1,224853,20,Abastecimento,N,MarceloA,MarceloA,Abastecimento,F
2019-06-21 12:12:07,2019-06-21 00:00:00,,2019-06-21 12:51:38,2019-06-21 12:51:23,2,224851,1,Rota,R,CARLOSG,hurielm,Deposito,F
2019-06-21 12:09:53,2019-06-21 00:00:00,,2019-06-21 16:06:45,2019-06-21 15:38:41,1,224849,8,Abastecimento,N,maisac,jeissonc,Deposito,F
2019-06-21 12:07:57,2019-06-21 00:00:00,,2019-06-21 12:17:37,2019-06-21 12:16:59,11,224848,1,Cliente,C,MARIA ELOISA,maureliof,Deposito,F
2019-06-21 11:52:22,2019-06-21 00:00:00,,2019-06-21 13:35:35,2019-06-21 12:01:09,1,224841,19,Abastecimento,N,andref,ANDREF,Abastecimento,F
2019-06-21 11:51:58,2019-06-21 00:00:00,,2019-06-21 12:01:59,2019-06-21 11:56:24,1,224840,1,Cliente,C,victorc,jeissonc,Deposito,F
2019-06-21 11:51:57,2019-06-21 00:00:00,,2019-06-21 11:56:27,2019-06-21 11:54:37,1,224839,1,Cliente,C,JOSEB,micaelp,Deposito,F
2019-06-21 11:50:46,2019-06-21 00:00:00,,2019-06-21 11:54:27,2019-06-21 11:51:58,1,224838,1,Cliente,C,JOEL YSON,MarceloA,Abastecimento,F
2019-06-21 11:44:02,2019-06-21 00:00:00,,2019-06-21 11:58:32,2019-06-21 11:58:13,1,224837,1,Cliente,C,gersono,DANIELB,Deposito,F
2019-06-21 11:38:35,2019-06-21 00:00:00,,2019-06-21 14:43:05,2019-06-21 14:32:05,1,224836,4,Abastecimento,N,martina,alexd,Deposito,F
2019-06-21 11:31:39,2019-06-21 00:00:00,,2019-06-21 11:39:22,2019-06-21 11:39:14,1,224835,1,Cliente,C,elisr,ARIELG,Deposito,F
2019-06-21 11:30:15,2019-06-21 00:00:00,,2019-06-21 11:37:49,2019-06-21 11:33:10,11,224834,8,Abastecimento,N,michele,maureliof,Deposito,F
2019-06-21 11:29:00,2019-06-21 00:00:00,,2019-06-21 11:39:40,2019-06-21 11:35:32,1,224833,1,Cliente,C,JULIANA SILVA,micaelp,Deposito,F
2019-06-21 11:27:37,2019-06-21 00:00:00,,2019-06-21 11:31:55,2019-06-21 11:29:37,1,224832,1,Cliente,C,JOSEB,jeffersondouglas,Deposito,F
2019-06-21 11:27:14,2019-06-21 00:00:00,,2019-06-21 12:20:35,2019-06-21 11:30:06,1,224831,15,Abastecimento,N,SANDROO,SANDROO,Abastecimento,F
2019-06-21 11:25:49,2019-06-21 00:00:00,,2019-06-21 12:15:17,2019-06-21 11:27:42,1,224830,11,Abastecimento,N,Rosangela,ROSANGELA,Promotor,F
2019-06-21 11:19:43,2019-06-21 00:00:00,,2019-06-21 13:33:17,2019-06-21 13:21:11,1,224828,2,Abastecimento,N,victorc,alexd,Deposito,F
2019-06-21 11:17:31,2019-06-21 00:00:00,,2019-06-21 11:25:19,2019-06-21 11:19:52,1,224827,1,Cliente,C,HELDERF,jeissonc,Deposito,F
2019-06-21 11:11:59,2019-06-21 00:00:00,,2019-06-21 11:19:42,2019-06-21 11:19:20,1,224826,1,Abastecimento,N,TALYTASOUZA,joaos,Deposito,F
2019-06-21 11:07:23,2019-06-21 00:00:00,,2019-06-21 11:22:49,2019-06-21 11:12:43,1,224825,1,Cliente,C,ANTONIAL,jonatasferreira,Deposito,F
2019-06-21 11:04:49,2019-06-21 00:00:00,,2019-06-21 11:35:15,2019-06-21 11:17:20,1,224822,8,Abastecimento,N,LuanaT,micaelp,Deposito,F
2019-06-21 11:03:45,2019-06-21 00:00:00,,2019-06-21 11:47:37,2019-06-21 11:07:49,1,224821,1,Abastecimento,N,JOSINIELRYA,JOSINIELRYA,Abastecimento,F
2019-06-21 11:02:43,2019-06-21 00:00:00,,2019-06-21 11:59:51,2019-06-21 11:05:09,1,224820,4,Abastecimento,N,CLEITON,ALEFF,Abastecimento,F
2019-06-21 11:01:48,2019-06-21 00:00:00,,2019-06-21 11:22:48,2019-06-21 11:07:12,1,224819,2,Abastecimento,N,FERNANDOD,FERNANDOD,Abastecimento,F
2019-06-21 11:00:56,2019-06-21 00:00:00,,2019-06-21 12:00:18,2019-06-21 12:00:01,2,224818,1,Cliente,C,deysek,kevena,Deposito,F
2019-06-21 10:59:09,2019-06-21 00:00:00,,2019-06-21 11:15:37,2019-06-21 11:01:37,1,224816,2,Cliente,C,MARCIO GRA,jeissonc,Deposito,F
2019-06-21 10:57:25,2019-06-21 00:00:00,,2019-06-21 11:10:02,2019-06-21 10:58:29,1,224815,1,Cliente,C,martina,MARTINA,Abastecimento,F
2019-06-21 10:52:50,2019-06-21 00:00:00,,2019-06-21 12:41:28,2019-06-21 12:13:59,1,224813,10,Abastecimento,N,rafaellaf,micaelp,Deposito,F
2019-06-21 10:50:58,2019-06-21 00:00:00,,2019-06-21 11:00:05,2019-06-21 10:55:20,1,224812,1,Cliente,C,maria ivanilda,jeissonc,Deposito,F
2019-06-21 10:49:06,2019-06-21 00:00:00,,2019-06-21 10:54:54,2019-06-21 10:54:44,1,224811,1,Cliente,C,MARCOS,ARIELG,Deposito,F
2019-06-21 10:48:05,2019-06-21 00:00:00,,2019-06-21 10:57:35,2019-06-21 10:50:10,1,224810,2,Abastecimento,N,moreira,moreira,Promotor,F
2019-06-21 10:47:39,2019-06-21 00:00:00,,2019-06-21 11:14:07,2019-06-21 10:48:51,1,224809,7,Abastecimento,N,SANDROO,SANDROO,Abastecimento,F
2019-06-21 10:47:04,2019-06-21 00:00:00,,2019-06-21 10:59:10,2019-06-21 10:58:47,1,224808,1,Cliente,C,jneto,joaos,Deposito,F
2019-06-21 10:45:54,2019-06-21 00:00:00,,2019-06-21 10:55:40,2019-06-21 10:48:55,1,224807,2,Cliente,C,victorc,rudsond,Deposito,F
2019-06-21 10:42:36,2019-06-21 00:00:00,,2019-06-21 10:53:36,2019-06-21 10:53:26,1,224806,1,Cliente,C,iranildov,ARIELG,Deposito,F
2019-06-21 10:41:56,2019-06-21 00:00:00,,2019-06-21 15:46:15,2019-06-21 15:21:06,1,224805,4,Abastecimento,N,WANBSONL,alexd,Deposito,F
2019-06-21 10:41:24,2019-06-21 00:00:00,,2019-06-21 11:40:48,2019-06-21 11:04:32,1,224804,9,Abastecimento,N,FlavioSilva,FlavioSilva,Promotor,F
2019-06-21 10:40:57,2019-06-21 00:00:00,,2019-06-21 10:53:48,2019-06-21 10:53:41,1,224803,1,Cliente,C,gersono,ARIELG,Deposito,F
2019-06-21 10:39:42,2019-06-21 00:00:00,,2019-06-21 10:46:36,2019-06-21 10:45:10,11,224802,1,Cliente,C,GABRIELLAP,maureliof,Deposito,F
2019-06-21 10:36:35,2019-06-21 00:00:00,,2019-06-21 10:39:24,2019-06-21 10:37:19,1,224801,1,Cliente,C,MARCIO GRA,micaelp,Deposito,F
2019-06-21 10:35:46,2019-06-21 00:00:00,,2019-06-21 12:22:59,2019-06-21 12:06:39,1,224800,4,Abastecimento,N,elisr,jeissonc,Deposito,F
2019-06-21 10:34:24,2019-06-21 00:00:00,,2019-06-21 10:57:12,2019-06-21 10:35:35,1,224799,4,Abastecimento,N,CLEITON,ALEFF,Abastecimento,F
2019-06-21 10:32:48,2019-06-21 00:00:00,,2019-06-21 12:03:24,2019-06-21 11:59:02,1,224798,2,Abastecimento,N,ALBECIL,micaelp,Deposito,F
2019-06-21 10:31:59,2019-06-21 00:00:00,,2019-06-21 10:38:24,2019-06-21 10:34:01,1,224797,1,Cliente,C,ANTONIAL,jeissonc,Deposito,F
2019-06-21 10:29:59,2019-06-21 00:00:00,,2019-06-21 10:58:09,2019-06-21 10:33:32,1,224796,3,Cliente,C,MARCIO GRA,josef,Abastecimento,F
2019-06-21 10:26:26,2019-06-21 00:00:00,,2019-06-21 10:36:53,2019-06-21 10:29:09,1,224795,1,Cliente,C,MARCOS,wildsono,Deposito,F
2019-06-21 10:25:48,2019-06-21 00:00:00,,2019-06-21 10:58:28,2019-06-21 10:57:00,11,224793,1,Abastecimento,N,lidianer,rodolfor,Deposito,F
2019-06-21 10:25:38,2019-06-21 00:00:00,,2019-06-21 10:48:07,2019-06-21 10:47:42,1,224792,1,Cliente,C,ANTONIAL,jonatasferreira,Deposito,F
2019-06-21 10:21:11,2019-06-21 00:00:00,,2019-06-21 15:40:15,2019-06-21 15:19:39,1,224790,5,Abastecimento,N,FABIOV,DANIELB,Deposito,F
2019-06-21 10:20:16,2019-06-21 00:00:00,,2019-06-21 10:21:46,2019-06-21 10:21:31,1,224789,1,Cliente,C,vivianed,alexd,Deposito,F
2019-06-21 10:17:59,2019-06-21 00:00:00,,2019-06-21 10:36:05,2019-06-21 10:25:09,1,224788,3,Abastecimento,N,JOSINIELRYA,JOSINIELRYA,Abastecimento,F
2019-06-21 10:16:39,2019-06-21 00:00:00,,2019-06-21 15:36:08,2019-06-21 14:54:23,1,224786,7,Abastecimento,N,victorc,JEFFEMBERGJONAS,Deposito,F
2019-06-21 10:16:14,2019-06-21 00:00:00,,2019-06-21 11:08:06,2019-06-21 11:07:56,1,224785,1,Abastecimento,N,ALBECIL,wildsono,Deposito,F
2019-06-21 10:15:17,2019-06-21 00:00:00,,2019-06-21 11:50:57,2019-06-21 11:07:36,1,224784,7,Abastecimento,N,JOSINIELRYA,JOSINIELRYA,Abastecimento,F
2019-06-21 10:14:46,2019-06-21 00:00:00,,2019-06-21 10:17:18,2019-06-21 10:16:18,1,224783,1,Cliente,C,WANBSONL,alexd,Deposito,F
2019-06-21 10:04:14,2019-06-21 00:00:00,,2019-06-21 15:20:40,2019-06-21 14:51:56,1,224780,17,Abastecimento,N,Bhrendon,jeffersondouglas,Deposito,F
2019-06-21 10:02:13,2019-06-21 00:00:00,,2019-06-21 10:04:21,2019-06-21 10:03:01,1,224779,1,Cliente,C,MARCIO GRA,alexd,Deposito,F
2019-06-21 09:59:08,2019-06-21 00:00:00,,2019-06-21 15:04:12,2019-06-21 14:45:28,1,224778,6,Abastecimento,N,netinho,DANIELB,Deposito,F
2019-06-21 09:55:47,2019-06-21 00:00:00,,2019-06-21 11:23:48,2019-06-21 11:23:38,1,224777,1,Abastecimento,N,Bhrendon,wildsono,Deposito,F
2019-06-21 09:54:53,2019-06-21 00:00:00,,2019-06-21 11:10:32,2019-06-21 10:17:04,1,224776,4,Abastecimento,N,CLEITON,ANDREF,Abastecimento,F
2019-06-21 09:51:48,2019-06-21 00:00:00,,2019-06-21 10:08:37,2019-06-21 10:08:17,2,224775,1,Cliente,C,deysek,hurielm,Deposito,F
2019-06-21 09:50:18,2019-06-21 00:00:00,,2019-06-21 15:10:13,2019-06-21 14:43:23,1,224774,4,Abastecimento,N,netinho,alexd,Deposito,F
2019-06-21 09:49:05,2019-06-21 00:00:00,,2019-06-21 11:07:42,2019-06-21 11:07:34,1,224773,1,Abastecimento,N,ALBECIL,wildsono,Deposito,F
2019-06-21 09:45:02,2019-06-21 00:00:00,,2019-06-21 10:02:33,2019-06-21 09:48:49,1,224771,2,Cliente,C,gersono,alexd,Deposito,F
2019-06-21 09:42:48,2019-06-21 00:00:00,,2019-06-21 09:48:16,2019-06-21 09:44:07,1,224770,1,Cliente,C,ELLENM,alexd,Deposito,F
2019-06-21 09:42:45,2019-06-21 00:00:00,,2019-06-21 14:23:57,2019-06-21 14:04:12,1,224769,8,Abastecimento,N,celma,celma,Promotor,F
2019-06-21 09:42:12,2019-06-21 00:00:00,,2019-06-21 15:17:45,2019-06-21 14:52:00,1,224768,12,Abastecimento,N,victorc,wildsono,Deposito,F
2019-06-21 09:41:39,2019-06-21 00:00:00,,2019-06-21 11:21:37,2019-06-21 10:17:14,1,224767,4,Abastecimento,N,CLEITON,ANDREF,Abastecimento,F
2019-06-21 09:38:46,2019-06-21 00:00:00,,2019-06-21 10:35:16,2019-06-21 09:42:21,1,224766,11,Abastecimento,N,moreira,moreira,Promotor,F
